100
disaster n.灾难，灾祸；天灾 
pot n.锅，壶，罐，盆 
skim vt.掠过，擦过；略读 
angle n.角，角度 
drama n.一出戏剧，剧本 
survey vt.俯瞰；检查；测量 
mechanics n.力学；技术性细节 
dismiss vt.不再考虑，解雇 
shift vt.替换，转移n.转换 
navigation n.航行；航海术；导航 
filter vt.过滤n.滤纸 
phone n.电话，电话机；耳机 
via prep.经过；通过 
wreath n.花环，花圈，花冠 
acute a.尖的，锐的；敏锐的 
frequency n.屡次；次数；频率 
modify vt.更改，修改；修饰 
advance vi.前进；提高n.进展 
adventure n.冒险；惊险活动 
candle n.蜡烛；烛形物；烛光 
quick a.快的；敏捷的 
beautiful a.美的，美丽的 
consume vt.消耗，消费；消灭 
tailor n.裁缝vt.裁制衣服 
divorce n.离婚，离异vi.离婚 
instinct n.本能；直觉；生性 
satisfaction n.满意；快事；赔偿 
leader n.领袖，领导人；首领 
execute vt.将…处死；实施 
recognize vt.认识，认出；承认 
tendency n.趋向，趋势，倾向 
abnormal a.不正常的；变态的 
household n.家庭，户；家务 
organic a.有机体的；器官的 
painful a.使痛的；费力的 
secure a.安心的；安全的 
saddle n.鞍子，马鞍 
living-room n.起居室 
nest n.巢，窝，穴 
lie vi.说谎，欺骗n.谎话 
tend vi.走向，趋向；倾向 
hurry vi.赶紧vt.催促 
wavelength n.波长 
pursuit n.追赶；追求；事务 
lose vt.失去；迷失；输掉 
Britain n.不列颠，英国 
fancy n.想象力；设想；爱好 
gradual a.逐渐的；渐进的 
dispute vi.争论，争执n.争论 
method n.方法，办法；教学法 
interfere vi.干涉，干预；妨碍 
genius n.天才，天赋，天资 
spirit n.精神；气魄；情绪 
politics n.政治，政治学；政纲 
food n.食物，食品，养料 
crown n.王冠，冕；花冠 
yell vi.叫喊 
excursion n.远足；短途旅行 
creature n.生物，动物，家畜 
本地 n.位置，场所 
cruel a.残忍的，残酷的 
gravity n.重力，引力；严重性 
weapon n.武器，兵器 
horn n.号角；警报器；角 
noble a.贵族的；高尚的 
terror n.KB，惊骇 
conservative a.保守的n.保守的人 
suspend vt.吊，悬；推迟 
breed n.品种vt.使繁殖 
sincere a.真诚的；真挚的 
inherit vt.继承(传统等) 
fortunately ad.幸运地，幸亏 
cattle n.牛；牲口，家畜 
military a.军事的；军人的 
lodge vi.暂住，借宿，投宿 
guest n.客人，宾客；旅客 
layer n.层，层次；铺设者 
needle n.针，缝补，编织针 
jolly a.快活的；令人高兴的 
spaceship n.航天飞船 
father-in-law n.岳父；公公 
camp n.野营，营地，兵营 
guard vt.守卫；看守n.卫兵 
servant n.仆人，佣人，雇工 
persist vi.坚持，固执；持续 
scientific a.科学(上)的 
pole n.极(点)，磁极，电极 
forget vt.忘记，遗忘 
twentieth num.第二十 
vest n.汗衫；背心；内衣 
exaggerate vt.&vi.夸大，夸张 
mobile a.运动的；流动的 
service n.服务；行政部门 
rate n.比率；速度；价格 
painter n.漆工，画家，绘画者 
cassette n.盒式录音带；盒子 
merely ad.仅仅，只不过 
adapt vt.使适应；改编 
thread n.线；丝；螺纹；头绪 
temporary a.暂时的，临时的
